Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Hw1-4a	44.26115634373823	46.0	50.0	18.181818181818183	9878242.0
Hw1-4b	40.64476606419589	46.0	50.0	36.36363636363637	8240977.0
Hw1-4c	41.546790693883636	43.0	50.0	18.181818181818183	9008039.0
Hw1-6a	49.676285468501426	44.0	50.0	9.090909090909092	18833722.0
Hw1-6b	45.04279159494084	45.0	50.0	9.090909090909092	18562124.0
Hw1-6c	42.40152116970347	45.0	50.0	9.090909090909092	16512815.0
Hw2-4a	34.57644069720939	45.0	50.0	18.181818181818183	8980206.0
Hw2-4b	40.14387191854549	43.0	50.0	18.181818181818183	10511804.0
Hw2-4c	39.28487129592158	43.0	50.0	36.36363636363637	9776438.0
Hw2-6b	47.34671396431055	44.0	50.0	9.090909090909092	18646988.0
Hw2-6c	44.958640123739045	45.0	50.0	9.090909090909092	15441056.0
Wt1-4a	38.88599526462133	43.0	50.0	18.181818181818183	8813038.0
Wt1-4b	36.72834713417858	43.0	50.0	27.27272727272727	8605733.0
Wt1-4c	37.14277762458467	44.0	50.0	18.181818181818183	12363692.0
Wt1-6a	45.64811559328166	42.0	50.0	9.090909090909092	18493445.0
Wt1-6b	49.10936572355593	44.0	50.0	27.27272727272727	18437673.0
Wt1-6c	53.274146638163934	43.0	50.0	18.181818181818183	17822511.0
Wt2-4a	49.707129139523275	44.0	50.0	18.181818181818183	12318282.0
Wt2-4b	46.3274027159709	42.0	50.0	9.090909090909092	16357350.0
Wt2-4c	45.08912643866723	44.0	50.0	9.090909090909092	20366051.0
Wt2-6a	49.126589119782636	43.0	50.0	9.090909090909092	18020168.0
Wt2-6b	41.971157924782595	46.0	50.0	9.090909090909092	16780258.0
Wt2-6c	52.32446646187588	44.0	50.0	18.181818181818183	15668816.0
